"farmer_ID","shop_ID","knows_dealer","bought_at_dealer","duration_customer","knows_other_customer","refunds","gives_credit","gives_advice","delivers","after_sales_service","payment_mehtods","small_quant","catchID"
"F_1618","AD_244","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","37"
"F_1616","AD_244","Yes","No","n/a","Yes","98","98","Yes","98","98","98","Yes","37"
"F_1430","AD_227","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","4"
"F_1615","AD_244","Yes","Yes","2020-02-01","n/a","No","No","Yes","No","No","Yes","Yes","37"
"F_1427","AD_227","Yes","Yes","2017-02-01","n/a","No","98","Yes","No","Yes","Yes","Yes","4"
"F_1614","AD_244","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","37"
"F_1612","AD_244","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","37"
"F_1611","AD_244","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","37"
"F_1613","AD_244","Yes","Yes","2018-02-01","n/a","Yes","98","Yes","No","No","No","Yes","37"
"F_1428","AD_227","Yes","Yes","2012-02-01","n/a","Yes","No","Yes","No","No","No","Yes","4"
"F_1422","AD_227","Yes","Yes","2020-02-01","n/a","Yes","No","Yes","Yes","No","Yes","Yes","4"
"F_504","AD_244","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","37"
"F_1424","AD_227","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","4"
"F_509","AD_244","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","37"
"F_508","AD_244","Yes","Yes","2019-02-01","n/a","98","Yes","Yes","98","98","Yes","98","37"
"F_502","AD_244","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","37"
"F_503","AD_244","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","37"
